ano,serie,raca_cor,disciplina,value,escola_publica,escola_publica_contagem,regiao,regiao_contagem,sexo,sexo_contagem,escolaridade_agrupado,escolaridade_mae,escolaridade_pai,responsaveis_comparecem_reuniao_pais,quantidade_agrupado,possui_casa_dormitorio,possui_computador,possui_geladeira,possui_tv,possui_automovel,possui_casa_banheiro,possui_freezer,possui_maquina_lavar_roupa,evasao_escolar_ate_final_ano,rede,reprovacao,possui_trabalho_agrupado,possui_trabalho,tempo_lazer_agrupado,tempo_lazer,trabalho_domestico_agrupado,tempo_trabalho_domestico,desempenho_aluno,desempenho_aluno_contagem
2013,5,Branca,MT,B,Sim,1116820,Nordeste,216008,Feminino,544606,EB incompleta,147976,109398.0,312248,Sim,129776,519402,913686,366950,487334,725094,284804,792734,55410,109346,182500,Sim,146482,Não,319642,Não,244970,Proficiente,169407
2013,5,Branca,MT,C,-,0,Centro-Oeste,499236,-,0,EB incompleta,112692,105070.0,85334,Sim,433762,178616,150308,377806,147890,271754,31542,143236,16016,147624,62496,0,0,Não,264084,Não,70808,Básico,182377
2013,5,Branca,MT,D,-,0,Sudeste,270486,-,0,EB completa,173796,131066.0,0,Sim,386764,59256,21752,197476,37000,69474,9038,18728,0,0,0,0,0,Não,451292,Não,67134,Insuficiente,125756
2013,5,Branca,MT,E,-,0,Sul,83718,-,0,EB completa,153738,135042.0,0,Sim,141378,26742,6606,96364,19166,23390,5406,5948,0,0,0,0,0,0,0,Sim,227384,-,0
2013,5,Branca,MT,F,-,0,-,0,-,0,ES completo,379550,485910.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,5,Indígena,MT,*,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,251
2013,5,Indígena,MT,.,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,5,Indígena,MT,A,Não,2108,Norte,9856,Masculino,48814,EB incompleta,16170,10616.0,58388,Não,2048,40620,3748,6016,55074,3012,71522,21604,88042,70234,68752,Não,80700,Sim,7806,Não,41152,Avançado,5371
2013,5,Indígena,MT,B,Sim,101714,Nordeste,31896,Feminino,51440,EB incompleta,15474,10638.0,30572,Sim,14326,41878,79264,37546,33518,68714,23706,64504,7434,11252,20160,Sim,16660,Não,29688,Não,22346,Proficiente,14139
2013,5,Indígena,MT,C,-,0,Centro-Oeste,41278,-,0,EB incompleta,11454,10684.0,9722,Sim,39686,11696,13504,32248,8518,21016,3000,11832,2578,15594,8266,0,0,Não,21424,Não,7562,Básico,18821
2013,5,Indígena,MT,D,-,0,Sudeste,10472,-,0,EB completa,14668,11064.0,0,Sim,29744,4166,2796,15042,2718,5040,1420,2168,0,0,0,0,0,Não,38572,Não,8066,Insuficiente,13329
2013,5,Indígena,MT,E,-,0,Sul,10320,-,0,EB completa,11862,40880.0,0,Sim,13016,1904,1102,7358,1524,1810,940,1082,0,0,0,0,0,0,0,Sim,18402,-,0
2013,5,Indígena,MT,F,-,0,-,0,-,0,ES completo,30408,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,5,Parda,MT,*,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,912
2013,5,Parda,MT,.,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,5,Parda,MT,A,Não,3176,Norte,36360,Masculino,199232,EB incompleta,64324,60590.0,201376,Não,6666,162276,11318,25890,223012,10250,255816,81438,309114,258136,214304,Não,275096,Sim,26426,Não,148852,Avançado,10772
2013,5,Parda,MT,B,Sim,368954,Nordeste,121440,Feminino,155048,EB incompleta,56452,36474.0,111370,Sim,63686,149318,290616,144796,106878,265260,89044,234228,29268,36572,91384,Sim,69116,Não,118444,Não,77498,Proficiente,37940
2013,5,Parda,MT,C,-,0,Centro-Oeste,149852,-,0,EB incompleta,39726,35884.0,37318,Sim,141756,33376,46932,111114,22812,64058,9106,38356,8784,48864,37156,0,0,Não,70136,Não,27496,Básico,71840
2013,5,Parda,MT,D,-,0,Sudeste,35072,-,0,EB completa,42140,30420.0,0,Sim,100300,10024,7802,48240,6316,12626,3178,5810,0,0,0,0,0,Não,130878,Não,29736,Insuficiente,64601
2013,5,Parda,MT,E,-,0,Sul,29406,-,0,EB completa,35638,32618.0,0,Sim,40666,3924,2300,20676,3476,4100,1742,2168,0,0,0,0,0,0,0,Sim,61658,-,0
2013,5,Parda,MT,F,-,0,-,0,-,0,ES completo,118610,156170.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
2013,5,Preta,MT,*,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3421
2013,5,Preta,MT,.,-,0,-,0,-,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,0
